ID_passenger,Age,No of Siblings or Spouses on Board,No of Parents or Children on Board,Passenger Fare,Survived_num,Passenger Class_num,Sex_num,Port of Embarkation_num,Age_Category_num,Fare_Category_num,Deck_num
114,23.0,3,2,263.0,1,0,0,2,8,2,2
115,19.0,3,2,263.0,0,0,1,2,8,2,2
116,64.0,1,4,263.0,0,0,1,2,3,2,2
117,60.0,1,4,263.0,1,0,0,2,3,2,2
118,30.0,0,0,56.9292,1,0,0,0,8,2,4
119,,0,0,26.55,0,0,1,2,4,4,3
120,50.0,2,0,133.65,1,0,1,2,0,2,8
121,43.0,1,0,27.7208,1,0,1,0,0,4,3
122,,1,0,133.65,1,0,0,2,4,2,8
123,22.0,0,2,49.5,1,0,0,0,8,2,1
124,60.0,1,1,79.2,1,0,1,0,3,2,1
125,48.0,1,1,79.2,1,0,0,0,0,2,1
126,,0,0,0.0,0,0,1,2,4,1,1
127,37.0,1,0,53.1,0,0,1,2,0,2,2
128,35.0,1,0,53.1,1,0,0,2,0,2,2
129,47.0,0,0,38.5,0,0,1,2,0,4,4
130,35.0,0,0,211.5,1,0,0,0,0,2,2
131,22.0,0,1,59.4,1,0,0,0,8,2,8
132,45.0,0,1,59.4,1,0,0,0,0,2,8
133,24.0,0,0,79.2,0,0,1,0,8,2,1
134,49.0,1,0,89.1042,1,0,1,0,0,2,2
135,,1,0,89.1042,1,0,0,0,4,2,2
136,71.0,0,0,34.6542,0,0,1,0,5,4,0
137,53.0,0,0,28.5,1,0,1,0,3,4,2
138,19.0,0,0,30.0,1,0,0,2,8,4,1
139,38.0,0,1,153.4625,0,0,1,2,0,2,2
140,58.0,0,1,153.4625,1,0,0,2,3,2,2
141,23.0,0,1,63.3583,1,0,1,0,8,2,3
142,45.0,0,1,63.3583,1,0,0,0,0,2,3
143,46.0,0,0,79.2,0,0,1,0,0,2,1
144,25.0,1,0,55.4417,1,0,1,0,8,2,4
145,25.0,1,0,55.4417,1,0,0,0,8,2,4
146,48.0,1,0,76.7292,1,0,1,0,0,2,3
147,49.0,1,0,76.7292,1,0,0,0,0,2,3
148,,0,0,42.4,0,0,1,2,4,2,8
149,45.0,1,0,83.475,0,0,1,2,0,2,2
150,35.0,1,0,83.475,1,0,0,2,0,2,2
151,40.0,0,0,0.0,0,0,1,2,0,1,1
152,27.0,0,0,76.7292,1,0,1,0,8,2,3
153,,0,0,30.0,1,0,1,2,4,4,3
154,24.0,0,0,83.1583,1,0,0,0,8,2,2
155,55.0,1,1,93.5,0,0,1,2,3,2,1
156,52.0,1,1,93.5,1,0,0,2,3,2,1
157,42.0,0,0,42.5,0,0,1,2,0,2,1
158,,0,0,51.8625,0,0,1,2,4,2,4
159,55.0,0,0,50.0,0,0,1,2,3,2,2
160,16.0,0,1,57.9792,1,0,0,0,6,2,1
161,44.0,0,1,57.9792,1,0,0,0,0,2,1
162,51.0,1,0,77.9583,1,0,0,2,3,2,3
163,42.0,1,0,52.0,0,0,1,2,0,2,8
164,35.0,1,0,52.0,1,0,0,2,0,2,8
165,35.0,0,0,26.55,1,0,1,0,0,4,8
166,38.0,1,0,90.0,1,0,1,2,0,2,2
167,,0,0,30.6958,0,0,1,0,4,4,8
168,35.0,1,0,90.0,1,0,0,2,0,2,2
169,38.0,0,0,80.0,1,0,0,3,0,2,1
170,50.0,0,0,28.7125,0,0,0,0,0,4,2
171,49.0,0,0,0.0,1,0,1,2,0,1,1
172,46.0,0,0,26.0,0,0,1,2,0,4,8
173,50.0,0,0,26.0,0,0,1,2,0,4,4
174,32.5,0,0,211.5,0,0,1,0,0,2,2
175,58.0,0,0,29.7,0,0,1,0,3,4,1
176,41.0,1,0,51.8625,0,0,1,2,0,2,3
177,,1,0,51.8625,1,0,0,2,4,2,3
178,42.0,1,0,52.5542,1,0,1,2,0,2,3
179,45.0,1,0,52.5542,1,0,0,2,0,2,3
180,,0,0,26.55,0,0,1,2,4,4,2
181,39.0,0,0,211.3375,1,0,0,2,0,2,8
182,49.0,0,0,25.9292,1,0,0,2,0,4,3
183,30.0,0,0,106.425,1,0,0,0,8,2,8
184,35.0,0,0,512.3292,1,0,1,0,0,2,1
185,,0,0,27.7208,0,0,1,0,4,4,8
186,42.0,0,0,26.55,0,0,1,2,0,4,8
187,55.0,0,0,27.7208,1,0,0,0,3,4,8
188,16.0,0,1,39.4,1,0,0,2,6,4,3
189,51.0,0,1,39.4,1,0,0,2,3,4,3
190,29.0,0,0,30.0,0,0,1,2,8,4,3
191,21.0,0,0,77.9583,1,0,0,2,8,2,3
192,30.0,0,0,45.5,0,0,1,2,8,2,8
193,58.0,0,0,146.5208,1,0,0,0,3,2,1
194,15.0,0,1,211.3375,1,0,0,2,6,2,1
195,30.0,0,0,26.0,0,0,1,2,8,4,2
196,16.0,0,0,86.5,1,0,0,2,6,2,1
197,,0,0,29.7,1,0,1,0,4,4,2
198,19.0,1,0,53.1,0,0,1,2,8,2,3
199,18.0,1,0,53.1,1,0,0,2,6,2,3
200,24.0,0,0,49.5042,1,0,0,0,8,2,2
201,46.0,0,0,75.2417,0,0,1,0,0,2,2
202,54.0,0,0,51.8625,0,0,1,2,3,2,4
203,36.0,0,0,26.2875,1,0,1,2,0,4,4
204,28.0,1,0,82.1708,0,0,1,0,8,2,8
205,,1,0,82.1708,1,0,0,0,4,2,8
206,65.0,0,0,26.55,0,0,1,2,3,4,4
207,44.0,2,0,90.0,0,0,1,1,0,2,2
208,33.0,1,0,90.0,1,0,0,1,0,2,2
209,37.0,1,0,90.0,1,0,0,1,0,2,2
210,30.0,1,0,57.75,1,0,1,0,8,2,2
211,55.0,0,0,30.5,0,0,1,2,3,4,2
212,47.0,0,0,42.4,0,0,1,2,0,2,8
213,37.0,0,1,29.7,0,0,1,0,0,4,2
214,31.0,1,0,113.275,1,0,0,0,0,2,3
215,23.0,1,0,113.275,1,0,0,0,8,2,3
216,58.0,0,2,113.275,0,0,1,0,3,2,3
217,19.0,0,2,26.2833,1,0,0,2,8,4,3
218,64.0,0,0,26.0,0,0,1,2,3,4,8
219,39.0,0,0,108.9,1,0,0,0,0,2,2
220,,0,0,25.7417,1,0,1,0,4,4,8
221,22.0,0,1,61.9792,1,0,0,0,8,2,1
222,65.0,0,1,61.9792,0,0,1,0,3,2,1
223,28.5,0,0,27.7208,0,0,1,0,8,4,3
224,,0,0,0.0,0,0,1,2,4,1,8
225,45.5,0,0,28.5,0,0,1,2,0,4,2
226,23.0,0,0,93.5,0,0,1,2,8,2,1
227,29.0,1,0,66.6,0,0,1,2,8,2,2
228,22.0,1,0,66.6,1,0,0,2,8,2,2
229,18.0,1,0,108.9,0,0,1,0,6,2,2
230,17.0,1,0,108.9,1,0,0,0,6,2,2
231,30.0,0,0,93.5,1,0,0,2,8,2,1
232,52.0,0,0,30.5,1,0,1,2,3,4,2
233,47.0,0,0,52.0,0,0,1,2,0,2,2
234,56.0,0,1,83.1583,1,0,0,0,3,2,2
235,38.0,0,0,0.0,0,0,1,2,0,1,8
236,,0,0,39.6,1,0,1,2,4,4,8
237,22.0,0,0,135.6333,0,0,1,0,8,2,8
238,,0,0,227.525,0,0,1,0,4,2,8
239,43.0,0,1,211.3375,1,0,0,2,0,2,1
240,31.0,0,0,50.4958,0,0,1,2,0,2,0
241,45.0,0,0,26.55,1,0,1,2,0,4,8
242,,0,0,50.0,0,0,1,2,4,2,0
243,33.0,0,0,27.7208,1,0,0,0,0,4,0
244,46.0,0,0,79.2,0,0,1,0,0,2,8
245,36.0,0,0,40.125,0,0,1,0,0,4,0
246,33.0,0,0,86.5,1,0,0,2,0,2,1
247,55.0,1,0,59.4,0,0,1,0,3,2,8
248,54.0,1,0,59.4,1,0,0,0,3,2,8
249,33.0,0,0,26.55,0,0,1,2,0,4,8
250,13.0,2,2,262.375,1,0,1,0,6,2,1
251,18.0,2,2,262.375,1,0,0,0,6,2,1
252,21.0,2,2,262.375,1,0,0,0,8,2,1
253,61.0,1,3,262.375,0,0,1,0,3,2,1
254,48.0,1,3,262.375,1,0,0,0,0,2,1
255,,0,0,30.5,1,0,1,2,4,4,2
256,24.0,0,0,69.3,1,0,0,0,8,2,1
257,,0,0,26.0,1,0,1,2,4,4,8
258,35.0,1,0,57.75,1,0,0,0,0,2,2
259,30.0,0,0,31.0,1,0,0,0,8,4,8
260,34.0,0,0,26.55,1,0,1,2,0,4,8
261,40.0,0,0,153.4625,1,0,0,2,0,2,2
262,35.0,0,0,26.2875,1,0,1,2,0,4,4
263,50.0,1,0,55.9,0,0,1,2,0,2,4
264,39.0,1,0,55.9,1,0,0,2,0,2,4
265,56.0,0,0,35.5,1,0,1,0,3,4,0
266,28.0,0,0,35.5,1,0,1,2,8,4,0
267,56.0,0,0,26.55,0,0,1,2,3,4,8
268,56.0,0,0,30.6958,0,0,1,0,3,4,0
269,24.0,1,0,60.0,0,0,1,2,8,2,2
270,,0,0,26.0,0,0,1,2,4,4,0
271,18.0,1,0,60.0,1,0,0,2,6,2,2
272,24.0,1,0,82.2667,1,0,1,2,8,2,1
273,23.0,1,0,82.2667,1,0,0,2,8,2,1
274,6.0,0,2,134.5,1,0,1,0,1,2,4
275,45.0,1,1,134.5,1,0,1,0,0,2,4
276,40.0,1,1,134.5,1,0,0,0,0,2,4
277,57.0,1,0,146.5208,0,0,1,0,3,2,1
278,,1,0,146.5208,1,0,0,0,4,2,1
279,32.0,0,0,30.5,1,0,1,0,0,4,1
280,62.0,0,0,26.55,0,0,1,2,3,4,2
281,54.0,1,0,55.4417,1,0,1,0,3,2,2
282,43.0,1,0,55.4417,1,0,0,0,0,2,2
283,52.0,1,0,78.2667,1,0,0,0,3,2,3
284,,0,0,27.7208,0,0,1,0,4,4,8
285,62.0,0,0,80.0,1,0,0,3,3,2,1
286,67.0,1,0,221.7792,0,0,1,2,5,2,2
287,63.0,1,0,221.7792,0,0,0,2,3,2,2
288,61.0,0,0,32.3208,0,0,1,2,3,4,3
289,48.0,0,0,25.9292,1,0,0,2,0,4,3
290,18.0,0,2,79.65,1,0,0,2,6,2,4
291,52.0,1,1,79.65,0,0,1,2,3,2,4
292,39.0,1,1,79.65,1,0,0,2,0,2,4
293,48.0,1,0,52.0,1,0,1,2,0,2,2
294,,1,0,52.0,1,0,0,2,4,2,2
295,49.0,1,1,110.8833,0,0,1,0,0,2,2
296,17.0,0,2,110.8833,1,0,1,0,6,2,2
297,39.0,1,1,110.8833,1,0,0,0,0,2,2
298,,0,0,79.2,1,0,0,0,4,2,8
299,31.0,0,0,28.5375,1,0,1,0,0,4,2
300,40.0,0,0,27.7208,0,0,1,0,0,4,8
301,61.0,0,0,33.5,0,0,1,2,3,4,1
302,47.0,0,0,34.0208,0,0,1,2,0,4,3
303,35.0,0,0,512.3292,1,0,0,0,0,2,8
304,64.0,1,0,75.25,0,0,1,0,3,2,3
305,60.0,1,0,75.25,1,0,0,0,3,2,3
306,60.0,0,0,26.55,0,0,1,2,3,4,8
307,54.0,0,1,77.2875,0,0,1,2,3,2,3
308,21.0,0,1,77.2875,0,0,1,2,8,2,3
309,55.0,0,0,135.6333,1,0,0,0,3,2,2
310,31.0,0,2,164.8667,1,0,0,2,0,2,2
311,57.0,1,1,164.8667,0,0,1,2,3,2,8
312,45.0,1,1,164.8667,1,0,0,2,0,2,8
313,50.0,1,1,211.5,0,0,1,0,0,2,2
314,27.0,0,2,211.5,0,0,1,0,8,2,2
315,50.0,1,1,211.5,1,0,0,0,0,2,2
316,21.0,0,0,26.55,1,0,0,2,8,4,8
317,51.0,0,1,61.3792,0,0,1,0,3,2,8
318,21.0,0,1,61.3792,1,0,1,0,8,2,8
319,,0,0,35.0,0,0,1,2,4,4,2
320,31.0,0,0,134.5,1,0,0,0,0,2,4
321,,0,0,35.5,1,0,1,2,4,4,2
322,62.0,0,0,26.55,0,0,1,2,3,4,8
323,36.0,0,0,135.6333,1,0,0,0,0,2,2
324,30.0,1,0,24.0,0,1,1,0,8,4,8
325,28.0,1,0,24.0,1,1,0,0,8,4,8
326,30.0,0,0,13.0,0,1,1,2,8,5,8
327,18.0,0,0,11.5,0,1,1,2,6,5,8
328,25.0,0,0,10.5,0,1,1,2,8,0,8
329,34.0,1,0,26.0,0,1,1,2,0,4,8
330,36.0,1,0,26.0,1,1,0,2,0,4,8
331,57.0,0,0,13.0,0,1,1,2,3,5,8
332,18.0,0,0,11.5,0,1,1,2,6,5,8
333,23.0,0,0,10.5,0,1,1,2,8,0,8
334,36.0,0,0,13.0,1,1,0,2,0,5,3
335,28.0,0,0,10.5,0,1,1,2,8,0,8
336,51.0,0,0,12.525,0,1,1,2,3,5,8
337,32.0,1,0,26.0,1,1,1,2,0,4,8
338,19.0,1,0,26.0,1,1,0,2,8,4,8
339,28.0,0,0,26.0,0,1,1,2,8,4,8
340,1.0,2,1,39.0,1,1,1,2,2,4,5
341,4.0,2,1,39.0,1,1,0,2,7,4,5
342,12.0,2,1,39.0,1,1,0,2,1,4,5
343,36.0,0,3,39.0,1,1,0,2,0,4,5
344,34.0,0,0,13.0,1,1,1,2,0,5,3
345,19.0,0,0,13.0,1,1,0,2,8,5,8
346,23.0,0,0,13.0,0,1,1,2,8,5,8
347,26.0,0,0,13.0,0,1,1,2,8,5,8
348,42.0,0,0,13.0,0,1,1,2,0,5,8
349,27.0,0,0,13.0,0,1,1,2,8,5,8
350,24.0,0,0,13.0,1,1,0,2,8,5,5
351,15.0,0,2,39.0,1,1,0,2,6,4,8
352,60.0,1,1,39.0,0,1,1,2,3,4,8
353,40.0,1,1,39.0,1,1,0,2,0,4,8
354,20.0,1,0,26.0,1,1,0,2,8,4,8
355,25.0,1,0,26.0,0,1,1,2,8,4,8
356,36.0,0,0,13.0,1,1,0,2,0,5,8
357,25.0,0,0,13.0,0,1,1,2,8,5,8
358,42.0,0,0,13.0,0,1,1,2,0,5,8
359,42.0,0,0,13.0,1,1,0,2,0,5,8
360,0.8333,0,2,29.0,1,1,1,2,2,4,8
361,26.0,1,1,29.0,1,1,1,2,8,4,8
362,22.0,1,1,29.0,1,1,0,2,8,4,8
363,35.0,0,0,21.0,1,1,0,2,0,5,8
364,,0,0,0.0,0,1,1,2,4,1,8
365,19.0,0,0,13.0,0,1,1,2,8,5,8
366,44.0,1,0,26.0,0,1,0,2,0,4,8
367,54.0,1,0,26.0,0,1,1,2,3,4,8
368,52.0,0,0,13.5,0,1,1,2,3,5,8
369,37.0,1,0,26.0,0,1,1,2,0,4,8
370,29.0,1,0,26.0,0,1,0,2,8,4,8
371,25.0,1,1,30.0,1,1,0,2,8,4,8
372,45.0,0,2,30.0,1,1,0,2,0,4,8
373,29.0,1,0,26.0,0,1,1,2,8,4,8
374,28.0,1,0,26.0,1,1,0,2,8,4,8
375,29.0,0,0,10.5,0,1,1,2,8,0,8
376,28.0,0,0,13.0,0,1,1,2,8,5,8
377,24.0,0,0,10.5,1,1,1,2,8,0,8
378,8.0,0,2,26.25,1,1,0,2,1,4,8
379,31.0,1,1,26.25,0,1,1,2,0,4,8
380,31.0,1,1,26.25,1,1,0,2,0,4,8
381,22.0,0,0,10.5,1,1,0,2,8,0,5
382,30.0,0,0,13.0,0,1,0,2,8,5,8
383,,0,0,21.0,0,1,0,2,4,5,8
384,21.0,0,0,11.5,0,1,1,2,8,5,8
385,,0,0,0.0,0,1,1,2,4,1,8
386,8.0,1,1,36.75,1,1,1,2,1,4,8
387,18.0,0,0,73.5,0,1,1,2,6,2,8
388,48.0,0,2,36.75,1,1,0,2,0,4,8
389,28.0,0,0,13.0,1,1,0,2,8,5,8
390,32.0,0,0,13.0,0,1,1,2,0,5,8
391,17.0,0,0,73.5,0,1,1,2,6,2,8
392,29.0,1,0,27.7208,0,1,1,0,8,4,8
393,24.0,1,0,27.7208,1,1,0,0,8,4,8
394,25.0,0,0,31.5,0,1,1,2,8,4,8
395,18.0,0,0,73.5,0,1,1,2,6,2,8
396,18.0,0,1,23.0,1,1,0,2,6,4,8
397,34.0,0,1,23.0,1,1,0,2,0,4,8
398,54.0,0,0,26.0,0,1,1,2,3,4,8
399,8.0,0,2,32.5,1,1,1,2,1,4,8
400,42.0,1,1,32.5,0,1,1,2,0,4,8
401,34.0,1,1,32.5,1,1,0,2,0,4,8
402,27.0,1,0,13.8583,1,1,0,0,8,5,8
403,30.0,1,0,13.8583,1,1,0,0,8,5,8
404,23.0,0,0,13.0,0,1,1,2,8,5,8
405,21.0,0,0,13.0,0,1,1,2,8,5,8
406,18.0,0,0,13.0,0,1,1,2,6,5,8
407,40.0,1,0,26.0,0,1,1,2,0,4,8
408,29.0,1,0,26.0,1,1,0,2,8,4,8
409,18.0,0,0,10.5,0,1,1,2,6,0,8
410,36.0,0,0,13.0,0,1,1,2,0,5,8
411,,0,0,0.0,0,1,1,2,4,1,8
412,38.0,0,0,13.0,0,1,0,2,0,5,8
413,35.0,0,0,26.0,0,1,1,2,0,4,8
414,38.0,1,0,21.0,0,1,1,2,0,5,8
415,34.0,1,0,21.0,0,1,1,2,0,5,8
416,34.0,0,0,13.0,1,1,0,2,0,5,8
417,16.0,0,0,26.0,0,1,1,2,6,4,8
418,26.0,0,0,10.5,0,1,1,2,8,0,8
419,47.0,0,0,10.5,0,1,1,2,0,0,8
420,21.0,1,0,11.5,0,1,1,2,8,5,8
421,21.0,1,0,11.5,0,1,1,2,8,5,8
422,24.0,0,0,13.5,0,1,1,2,8,5,8
423,24.0,0,0,13.0,0,1,1,2,8,5,8
424,34.0,0,0,13.0,0,1,1,2,0,5,8
425,30.0,0,0,13.0,0,1,1,2,8,5,8
426,52.0,0,0,13.0,0,1,1,2,3,5,8
427,30.0,0,0,13.0,0,1,1,2,8,5,8
428,0.6667,1,1,14.5,1,1,1,2,2,5,8
429,24.0,0,2,14.5,1,1,0,2,8,5,8
430,44.0,0,0,13.0,0,1,1,2,0,5,8
431,6.0,0,1,33.0,1,1,0,2,1,4,8
432,28.0,0,1,33.0,0,1,1,2,8,4,8
433,62.0,0,0,10.5,1,1,1,2,3,0,8
434,30.0,0,0,10.5,0,1,1,2,8,0,8
435,7.0,0,2,26.25,1,1,0,2,1,4,8
436,43.0,1,1,26.25,0,1,1,2,0,4,8
437,45.0,1,1,26.25,1,1,0,2,0,4,8
438,24.0,1,2,65.0,1,1,0,2,8,2,8
439,24.0,1,2,65.0,1,1,0,2,8,2,8
440,49.0,1,2,65.0,0,1,1,2,0,2,8
441,48.0,1,2,65.0,1,1,0,2,0,2,8
442,55.0,0,0,16.0,1,1,0,2,3,5,8
443,24.0,2,0,73.5,0,1,1,2,8,2,8
444,32.0,2,0,73.5,0,1,1,2,0,2,8
445,21.0,2,0,73.5,0,1,1,2,8,2,8
446,18.0,1,1,13.0,0,1,0,2,6,5,8
447,20.0,2,1,23.0,1,1,0,2,8,4,8
448,23.0,2,1,11.5,0,1,1,2,8,5,8
449,36.0,0,0,13.0,0,1,1,2,0,5,8
450,54.0,1,3,23.0,1,1,0,2,3,4,8
451,50.0,0,0,13.0,0,1,1,2,0,5,8
452,44.0,1,0,26.0,0,1,1,2,0,4,8
453,29.0,1,0,26.0,1,1,0,2,8,4,8
454,21.0,0,0,73.5,0,1,1,2,8,2,8
455,42.0,0,0,13.0,1,1,1,2,0,5,8
456,63.0,1,0,26.0,0,1,1,2,3,4,8
457,60.0,1,0,26.0,0,1,0,2,3,4,8
458,33.0,0,0,12.275,0,1,1,2,0,5,8
459,17.0,0,0,10.5,1,1,0,2,6,0,8
460,42.0,1,0,27.0,0,1,1,2,0,4,8
461,24.0,2,1,27.0,1,1,0,2,8,4,8
462,47.0,0,0,15.0,0,1,1,2,0,5,8
463,24.0,2,0,31.5,0,1,1,2,8,4,8
464,22.0,2,0,31.5,0,1,1,2,8,4,8
465,32.0,0,0,10.5,0,1,1,2,0,0,8
466,23.0,0,0,13.7917,1,1,0,0,8,5,3
467,34.0,1,0,26.0,0,1,1,2,0,4,8
468,24.0,1,0,26.0,1,1,0,2,8,4,8
469,22.0,0,0,21.0,0,1,0,2,8,5,8
470,,0,0,12.35,1,1,0,1,4,5,4
471,35.0,0,0,12.35,0,1,1,1,0,5,8
472,45.0,0,0,13.5,1,1,0,2,0,5,8
473,57.0,0,0,12.35,0,1,1,1,3,5,8
474,,0,0,0.0,0,1,1,2,4,1,8
475,31.0,0,0,10.5,0,1,1,2,0,0,8
476,26.0,1,1,26.0,0,1,0,2,8,4,8
477,30.0,1,1,26.0,0,1,1,2,8,4,8
478,,0,0,10.7083,0,1,1,1,4,5,8
479,1.0,1,2,41.5792,1,1,0,0,2,2,8
480,3.0,1,2,41.5792,1,1,0,0,7,2,8
481,25.0,1,2,41.5792,0,1,1,0,8,2,8
482,22.0,1,2,41.5792,1,1,0,0,8,2,8
483,17.0,0,0,12.0,1,1,0,0,6,5,8
484,,0,0,33.0,1,1,0,2,4,4,8
485,34.0,0,0,10.5,1,1,0,2,0,0,5
486,36.0,0,0,12.875,0,1,1,0,0,5,3
487,24.0,0,0,10.5,0,1,1,2,8,0,8
488,61.0,0,0,12.35,0,1,1,1,3,5,8
489,50.0,1,0,26.0,0,1,1,2,0,4,8
490,42.0,1,0,26.0,1,1,0,2,0,4,8
491,57.0,0,0,10.5,0,1,0,2,3,0,4
492,,0,0,15.0458,0,1,1,0,4,5,3
493,1.0,0,2,37.0042,1,1,1,0,2,4,8
